
 ⛅️ wrangler 4.98.0
───────────────────
Successfully created tail, expires at 2026-06-06T20:28:41Z
Connected to doare-coffee-api, waiting for logs...
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:27:47 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:27:47 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:27:49 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:27:49 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:29:17 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:29:17 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:29:17 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:29:17 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts/cach-pha-ca-phe-tai-nha-ngon - Ok @ 6/6/2026, 11:29:50 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:29:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:29:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:37:16 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:37:16 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:37:20 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:37:20 PM
